hash,date,files,deletions,insertions,lines,is_reverted,failed_pipeline,changes_in_30_days,duplication_percentage
26bd5a9bf84c5a9f1e2c671ea02d97dae26abe6b,2023-03-04 14:52:52+00:00,2,3,155,158,0,False,0,
91c9345585979f9eb74f6f17d9a68ed51e9f3743,2023-03-12 15:15:03+00:00,2,0,154,154,0,False,3,
68ecfa762a1a0d7934d1100b9289423da5498690,2023-03-13 06:10:06+00:00,0,0,154,154,0,False,0,
482a4ecf27780fba8c136678d08317d378b56506,2023-03-22 17:21:58+00:00,2,36,92,128,0,False,3,0.0
e69489a385bc2ae940d8a0dfafa4692450d61f83,2023-03-22 17:22:27+00:00,0,36,92,128,0,False,0,0.0
de0e361e8282a214e4c42a1c707308c35d643ec6,2023-03-22 18:45:17+00:00,1,57,0,57,0,False,0,0.0
6498d7f18d966bcaff5687b97fb591c80462cc5e,2023-03-22 18:48:41+00:00,4,0,685,685,0,False,1,0.0
686875c0cf427471e937f435445e90b9f91e4128,2023-03-22 18:49:25+00:00,0,0,685,685,0,False,0,0.0
123cb4a1b3a99cb47320d02c092e104746fef3fd,2023-05-08 16:24:33+00:00,2,0,337,337,0,False,6,0.0
fb3422bc3d00295d07a736372aec837286c8f148,2023-05-08 16:33:39+00:00,0,0,337,337,0,False,0,0.0
95bb5f9c682506bed7e08362a206725e7f8de1e8,2023-06-10 09:49:50+00:00,1,1,1,2,0,False,6,0.0
068b1025071a909a88923f5a63db2872ca774256,2023-06-10 09:50:37+00:00,0,1,1,2,0,False,0,0.0
c36515f3ae3dd4e9c2d5d3e26a957730f0aad353,2023-06-16 12:28:35+00:00,3,56,344,400,0,False,13,0.0
944f9fabd5a46725ac8c3e6d57f50cbe810cecb5,2023-06-16 12:31:00+00:00,0,56,344,400,0,False,0,0.0
1d930a56862a4c420a3b0c60721f365c8f181805,2023-07-17 02:52:20+00:00,9,1,590,591,0,False,27,0.0
6bd73f289d9c7c499ff6f8d879b71847e2601304,2023-07-17 04:03:00+00:00,2,0,715,715,0,False,0,0.0
66ab013ca18781cd6308bdcf48161a5cf8c64d75,2023-09-12 12:25:12+00:00,7,5,212,217,0,False,21,0.0
bdc88fd90d43e556d06ad097912868a8fa1a1dc8,2023-09-12 12:25:44+00:00,0,5,212,217,0,False,0,0.0
c29317b8ab94a39ce84a8411b4961ee80e67bbca,2023-10-05 11:03:00+00:00,1,1,4,5,0,False,3,0.0
fb2e6363672fae5c33c8510a75a33b0d6a7ba1c3,2023-10-05 11:03:42+00:00,0,1,4,5,0,False,0,0.0
c2f5201f6b8c0bd67905d2720eac57081a00e864,2023-11-18 10:40:22+00:00,4,28,180,208,0,False,16,0.0
6e7e5a4446d30fc3b7ebab48f2759401b34e806e,2023-11-18 10:42:04+00:00,0,28,180,208,0,False,0,0.0
aef2adf14c3b8d1605fce35d9c916e8ccbc500c0,2023-11-18 13:30:32+00:00,2,2,3,5,0,False,13,0.0
5d3cf14ff920c935539c165c881a452a84fe1be0,2023-12-30 17:43:52+00:00,7,29,86,115,0,False,66,0.0
53c056a3a99a80a44fe74ebdce0ea3994f2d1905,2023-12-31 02:45:06+00:00,1,0,17,17,0,False,20,0.0
9d65469a5bb1394ce5e1105c4f75dcd88095626a,2023-12-31 02:46:30+00:00,1,0,11,11,0,False,2,0.0
