hash,date,files,deletions,insertions,lines,is_reverted,failed_pipeline,changes_in_30_days,duplication_percentage
37e101992123abfb1650a6c9caf5240047ac9baa,2023-03-04 14:20:23+00:00,6,2,737,739,0,False,5,0.0
6662f7ca2f33c70894a641f828f83d670675c09f,2023-03-04 14:54:01+00:00,0,5,892,897,0,False,0,0.0
1dc3ef462391805c3e045fbcf060ff2d7963a7e7,2023-03-19 03:08:05+00:00,12,214,223,437,0,False,90,0.92
c57449b778fe385cd0432be14ea36de5edb956ab,2023-03-19 09:09:24+00:00,3,211,392,603,0,False,0,0.0
502fe9793010e02970d9da9659e25dd8fb145597,2023-03-19 09:10:37+00:00,0,264,463,727,0,False,0,0.0
698f81bf7af17458d35a4a19ba614b52d8dfb1a8,2023-03-20 12:03:46+00:00,14,365,437,802,0,False,59,0.0
caef606260d2ab694f495d9511d2b33cc7806702,2023-03-20 12:47:02+00:00,9,8,167,175,0,False,54,6.12
b6387c9888a6c8d3a5fcbd9a6d5e13d585f41d7c,2023-03-20 13:09:45+00:00,2,0,960,960,0,False,0,0.0
a63721f18748aa981f6202cfa6bf0ee01434f490,2023-03-20 13:19:46+00:00,6,280,168,448,0,False,0,0.0
5448e695dbd0b9722a9d4e9305bedaa3da804bb5,2023-03-20 15:36:31+00:00,3,82,138,220,0,False,7,0.0
6e2a085ba23ca962a8f34d692f95575139b3b56f,2023-03-20 15:39:31+00:00,4,0,661,661,0,False,2,0.0
7f473355b854beb9cacd681df5d6a2977df2b983,2023-03-20 15:53:41+00:00,0,735,2643,3378,0,False,0,0.0
b8332d527768460cd8baa2a37f906c9412ae2d61,2023-03-22 18:45:39+00:00,0,85,16,101,0,False,0,0.0
61cc1f46f2a4fd1ac78e375370eec543f05c9782,2023-03-24 04:16:43+00:00,13,519,256,775,0,False,75,0.0
cc9850cb9c635b756b9b2549803a715b1da864eb,2023-03-24 04:46:15+00:00,13,581,1410,1991,0,False,10,0.0
e9ac1db4978683629fa101747496213bdb68ef03,2023-03-24 04:47:50+00:00,0,1100,1666,2766,0,False,0,0.0
0420c5c3f34f96e2713ff11bf70bff978c492f67,2023-03-24 07:43:11+00:00,8,196,22,218,0,False,34,0.0
e97dd190f40d987bc18cfdabbb9fee2c07e83fdc,2023-03-24 07:55:21+00:00,0,196,22,218,0,False,0,0.0
3f79bb64d00824936e3bbbf5bcc7eb23d72a2c9a,2023-03-24 17:05:34+00:00,23,0,6025,6025,0,False,11,0.0
b94a0d879ba0f543c648f5e11e2bc3b519b8eccb,2023-03-25 05:24:02+00:00,26,73,1288,1361,0,False,0,0.0
e7d1b3132cf208cca0cdea205c11b9bd6bfbf611,2023-05-07 07:43:48+00:00,18,828,0,828,0,False,0,0.0
fa80fc294c20e290ac1032269fbfda23b3feeac7,2023-06-10 09:52:25+00:00,3,652,15,667,0,False,0,0.0
88d8bd773e18a57874872cd9980c42822d070304,2023-06-10 09:53:32+00:00,0,652,15,667,0,False,0,0.0
eb5ef4dfbd029a7b8b22ec15ab2951dc10cece48,2023-10-08 12:54:29+00:00,4,68,455,523,0,False,34,0.0
df896a6d68db62cf7515a34ff793139e94b1e57a,2023-10-08 12:55:02+00:00,0,68,455,523,0,False,0,0.0
48fe20c53a4f1667498ccf6313f23b0775701b83,2023-10-08 13:24:20+00:00,4,126,95,221,0,False,7,18.37
e0a942abd9e51a0af49b8005da2760d35c9e5410,2023-10-08 13:24:46+00:00,0,126,95,221,0,False,0,0.0
546714fd281a30611427ab7b12986f643558f3f8,2023-10-09 01:30:39+00:00,319,441,223092,223533,0,False,5,5.38
83171bd606609715a79e7e1e0e973768cdf19f58,2023-10-09 01:31:27+00:00,0,441,223092,223533,0,False,0,0.0
6263e4e3fc196d0c88386d102d4bca34cff3e34d,2023-10-13 14:42:46+00:00,38,71802,71882,143684,0,False,0,0.0
fe5a2bf1899d661487e361baf715bd5ea429d57f,2023-10-13 14:47:17+00:00,0,71802,71882,143684,0,False,0,0.0
ce445a295972687250aff15cd9f25e30c8d3d5ac,2023-10-15 14:03:30+00:00,10,11,233,244,0,False,2,0.0
5417d2f2bec3438de4291b84620c465a43dfcc9d,2023-11-11 08:57:44+00:00,9,1,299,300,0,False,20,6.93
48c4d55c604d6e191b5e49396f298e48b67e7f28,2023-11-11 09:15:29+00:00,0,36,531,567,0,False,0,0.0
827322fff595905e78675c8e8fbdab654d10ea20,2023-11-11 16:10:42+00:00,10,4,20,24,0,False,51,8.05
14af3666bfd1793329005186e6482c065071dd3d,2023-12-23 08:42:10+00:00,9,0,8,8,0,False,0,0.0
43bd805506c61daf7cedd10eb60339f3f0e80062,2023-12-24 13:49:27+00:00,7,181,206,387,0,False,24,0.0
f58a756b8da6258436ae0b8bb7219b07302edac9,2023-12-29 10:53:47+00:00,0,549,743,1292,0,False,0,0.0
531ca9183307ac9865aad171d38600f6910fcf92,2023-12-30 06:45:10+00:00,13,6,570,576,0,False,43,8.33
