hash,date,files,deletions,insertions,lines,is_reverted,failed_pipeline,changes_in_30_days,duplication_percentage
37e101992123abfb1650a6c9caf5240047ac9baa,2023-03-04 14:20:23+00:00,6,2,737,739,0,False,5,0.0
6662f7ca2f33c70894a641f828f83d670675c09f,2023-03-04 14:54:01+00:00,0,5,892,897,0,False,0,0.0
1dc3ef462391805c3e045fbcf060ff2d7963a7e7,2023-03-19 03:08:05+00:00,12,214,223,437,0,False,90,0.92
a0219cf6eb60032c9db662de0885f829271ba307,2023-03-19 08:21:07+00:00,5,40,65,105,0,False,33,0.0
8351f90133a663887cb4c0c2301be2ebcaa98fac,2023-03-19 08:22:24+00:00,1,13,6,19,0,False,10,0.0
c57449b778fe385cd0432be14ea36de5edb956ab,2023-03-19 09:09:24+00:00,3,211,392,603,0,False,0,0.0
502fe9793010e02970d9da9659e25dd8fb145597,2023-03-19 09:10:37+00:00,0,264,463,727,0,False,0,0.0
424d87b22215acb55337a978b27182172e649a1c,2023-03-19 09:16:45+00:00,1,1,1,2,0,False,4,0.0
cd62636b2fc5469a260b20a1d7ff463d9f56bd7e,2023-03-19 09:18:07+00:00,0,1,1,2,0,False,0,0.0
698f81bf7af17458d35a4a19ba614b52d8dfb1a8,2023-03-20 12:03:46+00:00,14,365,437,802,0,False,59,0.0
7429f9f6e204078c2d055c13977fc892eb87a0a4,2023-03-20 12:17:44+00:00,2,1,23,24,0,False,10,12.37
caef606260d2ab694f495d9511d2b33cc7806702,2023-03-20 12:47:02+00:00,9,8,167,175,0,False,54,6.12
f13df811e80df75a7b2ec90bbe771b464b850bf4,2023-03-20 13:08:07+00:00,1,2,16,18,0,False,0,0.0
b6387c9888a6c8d3a5fcbd9a6d5e13d585f41d7c,2023-03-20 13:09:45+00:00,2,0,960,960,0,False,0,0.0
c5a95ea73aa2cf2ef18da39c0e64679378d8cbc6,2023-03-20 13:10:59+00:00,1,22,31,53,0,False,5,0.0
a63721f18748aa981f6202cfa6bf0ee01434f490,2023-03-20 13:19:46+00:00,6,280,168,448,0,False,0,0.0
