hash,cc_before,cc_after,delta_cc,delta_cc_norm,n_functions_before,n_functions_after
52a1a0182d4a93ea49be228bd3ec386acb1f23b0,3.44,3.4078947368421053,-0.03210526315789464,-0.00023264683447749736,75,76
8a882c700b5b0dfa5f07f3fe6a65a88baf031036,2.466666666666667,2.5555555555555554,0.08888888888888857,0.0021164021164021087,45,45
878cb6befc1d3bc60dfdf7ccdde0295f14c95b47,1.4,1.380952380952381,-0.01904761904761898,-0.00024420024420024333,15,21
4eccbb8950dad2a0570b68b1507c598bf3b06cbc,1.0,1.0,0.0,0.0,1,1
d7eaa17b3935d91efe4b44f315975228907ad59f,2.4705882352941178,2.4705882352941178,0.0,0.0,17,17
bae0eb67c5faec1dc13bb57bad0f4f52c2e25ae9,1.0,1.0,0.0,0.0,1,1
8b89d43985680fb651d8b0712216fd3d6f10fadd,3.3333333333333335,3.25,-0.08333333333333348,-0.003968253968253975,3,4
f69a16b404b54a264d7d72b25071466cf2bbeb5f,0.0,3.0,3.0,0.05084745762711865,0,2
5a01b5b26b6a9fcf7e9b756c98659d95bbda6f40,1.0,1.0,0.0,0.0,1,1
168e983093452b2675557dac2eb6e8e8702a86aa,1.5,1.5,0.0,0.0,2,2
2e3d5a6443cc24dbdea10a65fd85007c992438f7,5.5,5.5,0.0,0.0,2,2
ee3cb84a635ae6747591d0c7a885ec804a234b9d,5.777777777777778,5.777777777777778,0.0,0.0,18,18
b1b91e6719fe2aac368d3a69bae8d7faeef73ec0,1.8181818181818181,1.8181818181818181,0.0,0.0,11,11
ebee7b469e01959e7e6d1c7643bc56640597c83c,3.365079365079365,3.3125,-0.052579365079365115,-0.001421063921063922,63,64
b0c123f90b9c1a505a9ceea48cbc86c01263ea54,3.5833333333333335,3.75,0.16666666666666652,0.013888888888888876,12,12
ef4c0098790aa0b7377a1005c7980dbe63e9c188,1.0,1.0,0.0,0.0,1,1
1500d81e874b341eb23e2cba460645a7f0d28f9c,1.0,1.0,0.0,0.0,2,2
8be6ffd9c7a9c3aff2f41424e60db0ff0379663d,1.0,1.0,0.0,0.0,1,1
395346156c455a9dcc6bd966454853d031a3070c,2.7333333333333334,2.7333333333333334,0.0,0.0,60,60
6cc4b677130efbcc9b13a01af07278953f5df85f,3.0,3.0,0.0,0.0,32,32
91af69fa241a074d92e2930d0148056540ea4d9d,2.6,2.6,0.0,0.0,5,5
ec43cca92d52f53e1e5514f1b685a09740e19614,2.0,3.0,1.0,0.3333333333333333,1,1
027577a2d4c7a6c57432118673359d259e05d923,1.0,1.0,0.0,0.0,1,1
64cc41d14b56b910696e6d08ccfe61db9749b02b,1.0,1.0,0.0,0.0,1,1
7e6c1f033f7de83498851dcc67f1c6b470c440f2,2.6666666666666665,2.6666666666666665,0.0,0.0,6,6
cce41fa570a7b05653f989463c9f8625b6639151,2.25,2.28125,0.03125,0.001838235294117647,64,64
56dfe8661886afdcf98e0cee176cc00560e2bbf0,1.0,1.0,0.0,0.0,2,2
3483fe63a3873c8ed3aab832239a86067fb0daf6,2.2,2.2,0.0,0.0,15,15
cffeec784b5a7bca01c5c87f74457fcabcc4692a,5.777777777777778,5.944444444444445,0.16666666666666696,0.0026881720430107577,18,18
41ae326d68f63bd3b34cbbd475e8cad84b481b24,1.0,1.0,0.0,0.0,1,1
078ee23fb101deb30c53460f8308b631ba92a501,1.5833333333333333,1.6875,0.10416666666666674,0.0028153153153153174,48,48
79019aece234fece8b6b713c107fadc25a525ad7,3.8088235294117645,3.782608695652174,-0.02621483375959066,-0.00029127593066211846,68,69
aec463284e144a3f07bd21087e7899ddd6861b48,3.0526315789473686,3.1578947368421053,0.10526315789473673,0.010526315789473672,19,19
0eb14fd0ad61c0c70aafd8ab70094b3fd18b3a39,3.1578947368421053,3.1,-0.05789473684210522,-0.001412066752246469,19,20
711e076fcd7d01ec5c5c061dc321a3bae5a0066f,3.1,2.95,-0.1499999999999999,-0.0016129032258064507,20,20
a613d8fe8396eed60132553fd2ca8677b8d3c9bf,1.0,1.0,0.0,0.0,1,1
68bec4a755cb926d4e39f8dd58290768b4e37500,1.0,1.0,0.0,0.0,1,1
27147189c8457b5570dfbe6958764e53a56facc0,1.0,1.0,0.0,0.0,1,1
286a6f90b0b3c0aa76ca42c28cb57e8de5ab6870,1.0,1.0,0.0,0.0,1,1
763c58c9283078ac12f81271b9a76c4081898861,1.0,1.0,0.0,0.0,1,1
a44cd52c5523b730609a4249119b4815d11320d9,2.23728813559322,2.0428571428571427,-0.19443099273607745,-0.001080172181867097,59,70
34d22832143b06e36286ab637942eb983dbfb75c,1.0,1.0,0.0,0.0,2,2
3e5007057527783d47ede5c0102ea61da702323d,1.25,1.25,0.0,0.0,4,4
3d39a50170ce0ee989f7ba08afc58abf0184cc26,1.0,1.0,0.0,0.0,1,1
c8281cdad0f8721a21db975bfbccb4ff4bdd31ae,1.1929824561403508,1.190909090909091,-0.002073365231259894,-2.961950330371277e-05,114,110
f1f02fd0cfedb82cfe92b9e0ae68d990c5cef034,2.625,2.5416666666666665,-0.08333333333333348,-0.006410256410256421,24,24
1ebbb2e5eddfcbc397429e7db75b0caec1a61244,1.0,1.0,0.0,0.0,3,3
39fcf6b10839b05aa0be3ab7ee8f7015173b5113,1.8372093023255813,1.813953488372093,-0.023255813953488413,-0.0014534883720930258,43,43
9d639e6e5d664970c8c960711ee950ad046c9d82,4.0,4.5476190476190474,0.5476190476190474,0.013038548752834464,42,42
8ca3e1b3fa6a4da14dfbc54fec4d8b1cff607914,2.3333333333333335,2.5,0.16666666666666652,0.008771929824561396,3,2
4dd7eb54820f79c73d9dee8a4d61dc14a6ee9db2,1.0,1.0,0.0,0.0,2,2
