hash,cc_before,cc_after,delta_cc,delta_cc_norm,n_functions_before,n_functions_after
b2522b483dfa2e7d5cb00e2bef443eb558ad0ea1,4.733333333333333,4.733333333333333,0.0,0.0,30,30
9c40f31a81dce007409741836621c305e507009c,3.0,3.0,0.0,0.0,2,2
ac3f2575d7414fcefd79854924d292413a7d9ef6,1.0,1.0,0.0,0.0,1,1
354382875288a07e6144f2f6485efbb3eba3251f,1.5,1.5,0.0,0.0,2,2
dd4ace8cbdbd794bcdedd212fcf0e83e9251534e,3.5217391304347827,3.1052631578947367,-0.416475972540046,-0.0013305941614697955,46,38
468592351da987b452c4058508b24f0cf0eb009a,1.0,1.0,0.0,0.0,1,1
6058bc84cbe0b376adaffb3c9f28d0d2f885d41b,3.1379310344827585,3.0,-0.13793103448275845,-0.005747126436781602,29,32
1e8fc684e57f078b3540c2fda885e44c0a3b12c8,4.5625,4.256410256410256,-0.3060897435897436,-0.002448717948717949,32,39
a231f31a117aa9f03ba16009a3da81d10b3e7d87,2.9285714285714284,3.0,0.07142857142857162,0.014285714285714323,14,14
a9655ee2811d68267b4f7802882625d55f6c16fc,2.5,2.5,0.0,0.0,6,6
8b1ce85d2d637d46f2b64919a138c908e8d702a6,0.0,2.0,2.0,0.05714285714285714,0,1
6ca57ef3c388adb7aad03db6838c953512c4fe5f,2.5,2.5,0.0,0.0,6,6
bc9f3fd4063d0a6961ecce1fbae4581110b06408,3.769230769230769,3.6666666666666665,-0.10256410256410264,-0.006837606837606843,13,12
bcca92ada8e057bf4567aeb4cf04240cda1ca400,3.6666666666666665,3.6666666666666665,0.0,0.0,12,12
eb63bf7fe463d14da020381fab9d639bef2daa47,2.5,2.5,0.0,0.0,2,2
62e119882b2cca72b5318ea8569813202bfc8a5a,2.6666666666666665,2.5789473684210527,-0.08771929824561386,-0.0010964912280701732,18,19
abe45e4d0e0a8e617e8c898ec92fa6dbd59d738e,2.5238095238095237,2.5238095238095237,0.0,0.0,21,21
548eec59ec369b9b914e6a42a8646cf968b59277,1.3125,1.4761904761904763,0.16369047619047628,0.004424066924066926,16,21
57e2eb498f559b016dfadc932282a360d773ac4a,1.0,1.0,0.0,0.0,1,1
d0198b9545ba5f6f3f669e16ccc1c87efd111452,1.5348837209302326,1.5348837209302326,0.0,0.0,86,86
0d13a3680234ba92885a705954913462222cd897,1.8571428571428572,2.0,0.1428571428571428,0.0062111801242235995,7,7
1b98a8bf21376fc3762a1ead222782e809c7f9db,2.0,2.0,0.0,0.0,7,7
71620230fb9d5eec2d6bafb7735ab651f1fcbefa,2.4545454545454546,2.4545454545454546,0.0,0.0,11,11
a25f66e56afa6418b9730d0a87f6e644fe00e622,1.1875,1.2347826086956522,0.04728260869565215,0.00016947171575502562,112,115
35eeac0cc688a5fe81b87b394c31c20809497114,1.0,1.0,0.0,0.0,1,1
d774d0ea8493b388d423d89ddb9645edb800fa8b,1.1442307692307692,1.1442307692307692,0.0,0.0,104,104
b5425a2fbd32496bd95cb8d822fab91e5930b8f5,1.6666666666666667,1.6666666666666667,0.0,0.0,3,3
bd50ce381f1cb713f904ee905f0741fda1753d05,1.0,1.0,0.0,0.0,1,1
6ed4c912045b441db600ad577aec68a5ac576902,1.0,1.0,0.0,0.0,1,1
916aa04067389740ad37e3cffbbc86b3c85e4e63,2.0,2.0,0.0,0.0,3,3
fca36db68c88a6bc3d8cccc54e0b00ba662674ef,3.25,3.25,0.0,0.0,4,4
962bbeb0e6c255ed1b115db7d5d71e5e90fc771e,1.5568181818181819,1.6022727272727273,0.045454545454545414,0.0037878787878787845,88,88
d1650bf5d9078fddcf00b745ce70a94bc691031d,1.6,1.6,0.0,0.0,5,5
b3d67c8e844af31d4a02c699d5ac2d2b7a1675ce,1.6122448979591837,1.58,-0.032244897959183616,-0.0008956916099773227,49,50
af8662bbd685fd3a53217c33b3848cf4a2bf6980,2.0,1.6666666666666667,-0.33333333333333326,-0.011904761904761902,2,3
07af907826e49f6cc0a2c060aa798f083dfe1657,1.696969696969697,1.696969696969697,0.0,0.0,33,33
a532d0158d51ea59ac0025d73dfe9eef536bb4c0,0.0,1.0,1.0,0.06666666666666667,0,1
d4d824f3df46ccb1a6812fd06d8f6813f52615dd,1.0,1.0,0.0,0.0,1,1
d39712b98ee2cfb08dc13d930f836547b838a901,1.5897435897435896,1.625,0.03525641025641035,0.002073906485671197,39,40
98a6dbe1cd45728a104effa5c0d00ceb56fa2ace,2.7066666666666666,3.3013698630136985,0.594703196347032,0.0031136293002462408,75,73
91e4c2b0683f21bcac04cd5d9a2f957dc3977419,2.2903225806451615,2.0952380952380953,-0.19508448540706613,-0.00048408060895053633,31,42
176d124757467b9c267a855c855ec0cdf527c9ca,1.0,1.0,0.0,0.0,2,2
9be6f57d710bcf7e660e8b3e162a68345809e4d5,3.782608695652174,3.8088235294117645,0.02621483375959066,0.00029127593066211846,69,68
5bd8b3b3540ae06672593fd840f4afa79c979755,3.8088235294117645,3.782608695652174,-0.02621483375959066,-0.0002674983036692925,68,69
