Unnamed: 0,hash,date,files,deletions,insertions,lines,is_reverted
15,c3367d34ed0eca52c1a50e929569d0ea46e14111,2023-04-07 05:00:33+00:00,2,5,10,15,False
17,b52bc6579ed48ba6f6f28058e1453645ec93e6cb,2023-04-07 07:36:34+00:00,1,1,3,4,False
33,6f64cdaf4a00f42f16807516c5beae03badfb1c0,2023-04-07 09:55:08+00:00,2,14,23,37,False
34,52a1a0182d4a93ea49be228bd3ec386acb1f23b0,2023-04-07 10:01:45+00:00,12,40,98,138,False
45,8a882c700b5b0dfa5f07f3fe6a65a88baf031036,2023-04-10 03:44:53+00:00,2,7,35,42,False
46,72a028232f83753e02363cc7449e9d5e45d21392,2023-04-10 04:07:44+00:00,1,3,14,17,False
47,f05c0677ef09e4e7cf924ccdfda77523ac9e07d6,2023-04-10 04:29:17+00:00,1,0,3,3,False
48,72a153ee212f7a7fea0edf78c1454854514557b0,2023-04-10 04:55:20+00:00,1,0,3,3,False
50,9714200e3f931db86592c915304d3a0d02e15cae,2023-04-10 06:58:35+00:00,6,12,18,30,False
52,edf9385daefd01f1170155e3862ea30cff8bd42a,2023-04-10 07:02:58+00:00,6,32,50,82,False
53,0f78106469481922d8ce54ab6c892337fa022940,2023-04-10 07:14:47+00:00,1,1,5,6,False
54,f710ef10afc1a7534882ebd1941c8ab976021d24,2023-04-10 07:33:58+00:00,1,1,1,2,False
55,ae118c6577d559b6c322d5fc30e1699c07660cce,2023-04-10 08:36:21+00:00,1,0,12,12,False
57,878cb6befc1d3bc60dfdf7ccdde0295f14c95b47,2023-04-10 10:16:14+00:00,5,15,63,78,False
58,dd6cecab188c5328d331d14de3f8701510888274,2023-04-10 10:51:59+00:00,1,0,5,5,False
59,ddfca06167c95e9aa8f263f9e8979ff5258caa61,2023-04-10 10:58:47+00:00,1,1,1,2,False
61,4eccbb8950dad2a0570b68b1507c598bf3b06cbc,2023-04-10 11:10:49+00:00,1,0,7,7,False
71,d7eaa17b3935d91efe4b44f315975228907ad59f,2023-04-10 13:59:39+00:00,1,2,2,4,False
72,7316074af3348786a11cecbdb1f3abb84b24d67d,2023-04-10 14:13:42+00:00,1,1,1,2,False
75,f53e68885847287ff2c0f75d8bc1cff3c5d73630,2023-04-11 10:39:37+00:00,12,38,65,103,False
76,5aec6ef953465c690268a2ef5f3747f0408e1cd0,2023-04-11 11:16:55+00:00,3,41,40,81,False
82,064a33b15f887224dff7fe914f4301098e773f55,2023-04-11 17:48:37+00:00,6,56,30,86,False
83,0af95c43afe3ffffb70a84f260cef403091e67dd,2023-04-11 21:36:36+00:00,1,3,3,6,False
86,86f52eb2698489c34523afae71c52672726713e1,2023-04-12 01:40:35+00:00,1,0,0,0,False
87,13df749b5b0b6895609abd531507bf0265c72558,2023-04-12 05:40:09+00:00,3,6,94,100,False
89,bae0eb67c5faec1dc13bb57bad0f4f52c2e25ae9,2023-04-12 07:15:32+00:00,11,0,8,8,False
92,1bf863fc905aa7e8e04705294d83769d81bfd37f,2023-04-12 09:32:57+00:00,1,9,1,10,False
95,8b89d43985680fb651d8b0712216fd3d6f10fadd,2023-04-12 12:35:02+00:00,2,1,20,21,False
96,f4f016c26a8af134e2d8681440aa0662361b54a1,2023-04-12 15:10:30+00:00,1,12,31,43,False
97,c79c32ee7d245242d248d9c2cf4d7e89879945f5,2023-04-12 16:45:20+00:00,1,24,24,48,False
99,33bcd0d1c106f6c7ada1feb6ac57c10b173d5a59,2023-04-13 00:44:52+00:00,3,6,6,12,False
100,810ac9cfc560046cc314779dd1a74b4062e1175b,2023-04-13 02:05:21+00:00,1,0,12,12,False
102,f69a16b404b54a264d7d72b25071466cf2bbeb5f,2023-04-13 05:50:53+00:00,4,2,57,59,False
103,41ad39670a241bbcdb9c078a511e28c12e0c50e1,2023-04-13 09:03:43+00:00,2,5,5,10,False
105,7cee458706b7b1e58152b268d408c52f9521b9f6,2023-04-14 01:36:45+00:00,2,7,5,12,False
107,b7bdb08e7407da775179d0f6cbd488aee0bebdfd,2023-04-14 01:37:54+00:00,3,39,40,79,False
109,5a01b5b26b6a9fcf7e9b756c98659d95bbda6f40,2023-04-14 02:58:42+00:00,3,0,16,16,False
115,168e983093452b2675557dac2eb6e8e8702a86aa,2023-04-14 09:50:22+00:00,4,5,10,15,False
116,2e3d5a6443cc24dbdea10a65fd85007c992438f7,2023-04-14 09:55:46+00:00,2,12,27,39,False
117,227dd1752564de2b8f9bfbddede44e83ebed0b38,2023-04-14 10:27:06+00:00,1,9,5,14,False
119,65830b4c8fc2216800804a11e0bb9dfac9ecf3fa,2023-04-15 15:16:20+00:00,1,12,12,24,False
122,ee3cb84a635ae6747591d0c7a885ec804a234b9d,2023-04-17 03:31:12+00:00,1,7,7,14,False
