hash,date,files,deletions,insertions,lines,is_reverted,failed_pipeline,changes_in_30_days,duplication_percentage
6e17be21469e0fd433fa0b27b492aa33a69a6c7e,2023-04-07 06:20:42+00:00,6,5,73,78,0,False,1,0.0
3c58a29652db7e9c03206d9b40adfb285664a4e5,2023-04-07 07:37:25+00:00,3,6,6,12,0,False,0,0.0
5bcc5a347f6d770e63256f526c1f381301624f54,2023-04-07 07:40:46+00:00,1,1,1,2,0,False,3,0.0
a1cc204870dd2567b157afc6c257a82c96ff36a1,2023-04-07 07:42:09+00:00,2,102,106,208,0,False,0,0.0
1b8d562424e4cbd476986b07540c0bfb9475722f,2023-04-07 07:47:16+00:00,3,9,9,18,0,False,9,0.0
8567b8ee8567512b89d1f22082bbc1534530fc9a,2023-04-07 07:51:26+00:00,1,1,3,4,0,False,7,0.0
36b9cf0f7fd7d7ae5b516b5fc8232308cecc3aee,2023-04-07 07:52:21+00:00,1,4,6,10,0,False,24,0.0
b2522b483dfa2e7d5cb00e2bef443eb558ad0ea1,2023-04-07 04:38:27+00:00,2,3,7,10,0,False,29,0.0
504fe8c8978cf2e963ba0d1377fb3c8390aada99,2023-04-07 08:02:38+00:00,1,1,1,2,0,False,5,0.0
9c40f31a81dce007409741836621c305e507009c,2023-04-07 08:07:16+00:00,1,2,2,4,0,False,2,0.0
75d25e27d10f18cd3249472968a6372b39f900e2,2023-04-07 08:08:01+00:00,1,1,1,2,0,False,4,0.0
ccbe16a9145419bbf2ddbadf9bdc3236f4913697,2023-04-07 08:10:52+00:00,5,2,88,90,0,False,8,0.0
ac3f2575d7414fcefd79854924d292413a7d9ef6,2023-04-07 08:11:37+00:00,3,2,14,16,0,False,21,0.0
354382875288a07e6144f2f6485efbb3eba3251f,2023-04-07 08:12:57+00:00,1,2,3,5,0,False,2,0.0
dd4ace8cbdbd794bcdedd212fcf0e83e9251534e,2023-04-07 08:39:19+00:00,3,181,132,313,0,False,37,0.0
b34a1a938137d84c9cc111595e00c3109ef6c31c,2023-04-07 14:15:40+00:00,1,1,1,2,0,False,1,0.0
468592351da987b452c4058508b24f0cf0eb009a,2023-04-07 15:53:51+00:00,3,14,2,16,0,False,21,0.0
38e54b6a7a8ebca6e2953c64cf6c5981e7222ef2,2023-04-07 23:44:02+00:00,2,104,108,212,0,False,0,0.0
5fba81b34d17a65ad01f7d2ae045d7b15fe98195,2023-04-09 02:57:00+00:00,2,104,108,212,0,False,0,0.0
6058bc84cbe0b376adaffb3c9f28d0d2f885d41b,2023-04-09 03:25:23+00:00,1,7,17,24,0,False,32,0.0
1e8fc684e57f078b3540c2fda885e44c0a3b12c8,2023-04-09 06:11:07+00:00,4,12,113,125,0,False,38,0.0
2c9a71186c3b3360fee563e5ec91b3e143c1a931,2023-04-10 06:58:52+00:00,2,104,108,212,0,False,0,0.0
a231f31a117aa9f03ba16009a3da81d10b3e7d87,2023-04-10 08:49:32+00:00,1,1,4,5,0,False,14,0.0
747557ea8048b9f776b2af1135fa95cd358e80ba,2023-04-10 11:02:59+00:00,3,6,7,13,0,False,0,0.0
7f1c3be1f651f3bc90daefc63e2dc46b9b69f38e,2023-04-04 02:16:10+00:00,3,18,24,42,0,False,43,0.0
f751d5b45a48e0e869205c997cf0132f5361e94a,2023-04-04 04:46:53+00:00,1,4,19,23,0,False,29,0.0
5e807574737e7bcc6147a2d68c23869bb9041f6b,2023-04-04 07:46:57+00:00,1,0,1,1,0,False,29,0.0
c85e11295a632f0b7083b463cad88c8d40d4e6d8,2023-04-06 07:56:34+00:00,1,1,4,5,0,False,29,0.0
a9655ee2811d68267b4f7802882625d55f6c16fc,2023-04-06 08:30:13+00:00,3,19,29,48,0,False,21,0.0
