,hash,date,files,deletions,insertions,lines,is_reverted,changes_in_30_days
0,c3367d34ed0eca52c1a50e929569d0ea46e14111,2023-04-07 05:00:33+00:00,2,5,10,15,0,0
2,b52bc6579ed48ba6f6f28058e1453645ec93e6cb,2023-04-07 07:36:34+00:00,1,1,3,4,0,8
18,6f64cdaf4a00f42f16807516c5beae03badfb1c0,2023-04-07 09:55:08+00:00,2,14,23,37,0,5
19,52a1a0182d4a93ea49be228bd3ec386acb1f23b0,2023-04-07 10:01:45+00:00,12,40,98,138,0,146
23,21598174c8618f179cb11bfe3effa13acbcec0ac,2023-04-07 15:29:28+00:00,6,61,280,341,0,72
26,0b1b8e19437e5bfcea4fef772b69e0f722025fc3,2023-04-08 14:43:35+00:00,9,91,231,322,0,61
29,9f2bf6b370c40fae42752ca0ef9653fa99722f73,2023-04-10 03:44:18+00:00,37,313,1451,1764,0,262
30,8a882c700b5b0dfa5f07f3fe6a65a88baf031036,2023-04-10 03:44:53+00:00,2,7,35,42,0,45
31,72a028232f83753e02363cc7449e9d5e45d21392,2023-04-10 04:07:44+00:00,1,3,14,17,0,0
32,f05c0677ef09e4e7cf924ccdfda77523ac9e07d6,2023-04-10 04:29:17+00:00,1,0,3,3,0,0
33,72a153ee212f7a7fea0edf78c1454854514557b0,2023-04-10 04:55:20+00:00,1,0,3,3,0,0
35,9714200e3f931db86592c915304d3a0d02e15cae,2023-04-10 06:58:35+00:00,6,12,18,30,0,41
37,edf9385daefd01f1170155e3862ea30cff8bd42a,2023-04-10 07:02:58+00:00,6,32,50,82,0,39
38,0f78106469481922d8ce54ab6c892337fa022940,2023-04-10 07:14:47+00:00,1,1,5,6,0,18
39,f710ef10afc1a7534882ebd1941c8ab976021d24,2023-04-10 07:33:58+00:00,1,1,1,2,0,18
40,ae118c6577d559b6c322d5fc30e1699c07660cce,2023-04-10 08:36:21+00:00,1,0,12,12,0,2
42,878cb6befc1d3bc60dfdf7ccdde0295f14c95b47,2023-04-10 10:16:14+00:00,5,15,63,78,0,21
43,dd6cecab188c5328d331d14de3f8701510888274,2023-04-10 10:51:59+00:00,1,0,5,5,0,0
44,ddfca06167c95e9aa8f263f9e8979ff5258caa61,2023-04-10 10:58:47+00:00,1,1,1,2,0,0
46,4eccbb8950dad2a0570b68b1507c598bf3b06cbc,2023-04-10 11:10:49+00:00,1,0,7,7,0,1
59,d7eaa17b3935d91efe4b44f315975228907ad59f,2023-04-10 13:59:39+00:00,1,2,2,4,0,17
60,7316074af3348786a11cecbdb1f3abb84b24d67d,2023-04-10 14:13:42+00:00,1,1,1,2,0,8
62,c9d584e483de7f4cbc92099fe5b8f6a52ae12de0,2023-04-11 07:55:46+00:00,15,70,122,192,0,156
63,f53e68885847287ff2c0f75d8bc1cff3c5d73630,2023-04-11 10:39:37+00:00,12,38,65,103,0,108
64,5aec6ef953465c690268a2ef5f3747f0408e1cd0,2023-04-11 11:16:55+00:00,3,41,40,81,0,53
70,064a33b15f887224dff7fe914f4301098e773f55,2023-04-11 17:48:37+00:00,6,56,30,86,0,26
71,0af95c43afe3ffffb70a84f260cef403091e67dd,2023-04-11 21:36:36+00:00,1,3,3,6,0,8
73,99896445c3e8ac112db0550a7671d0d0884e231e,2023-04-12 01:08:12+00:00,15,30,170,200,0,75
74,86f52eb2698489c34523afae71c52672726713e1,2023-04-12 01:40:35+00:00,1,0,0,0,0,0
75,13df749b5b0b6895609abd531507bf0265c72558,2023-04-12 05:40:09+00:00,3,6,94,100,0,36
77,bae0eb67c5faec1dc13bb57bad0f4f52c2e25ae9,2023-04-12 07:15:32+00:00,11,0,8,8,0,1
78,729a550b5d21b9d5cb85dbe7d05b68482c820330,2023-04-12 09:14:39+00:00,76,4691,206,4897,0,310
80,1bf863fc905aa7e8e04705294d83769d81bfd37f,2023-04-12 09:32:57+00:00,1,9,1,10,0,12
82,412dfd5047be10258379da0b39afee18b9fa8e83,2023-04-12 10:36:30+00:00,10,17,577,594,0,16
83,8b89d43985680fb651d8b0712216fd3d6f10fadd,2023-04-12 12:35:02+00:00,2,1,20,21,0,4
84,f4f016c26a8af134e2d8681440aa0662361b54a1,2023-04-12 15:10:30+00:00,1,12,31,43,0,13
85,c79c32ee7d245242d248d9c2cf4d7e89879945f5,2023-04-12 16:45:20+00:00,1,24,24,48,0,2
87,33bcd0d1c106f6c7ada1feb6ac57c10b173d5a59,2023-04-13 00:44:52+00:00,3,6,6,12,0,0
88,810ac9cfc560046cc314779dd1a74b4062e1175b,2023-04-13 02:05:21+00:00,1,0,12,12,0,2
90,f69a16b404b54a264d7d72b25071466cf2bbeb5f,2023-04-13 05:50:53+00:00,4,2,57,59,0,17
91,41ad39670a241bbcdb9c078a511e28c12e0c50e1,2023-04-13 09:03:43+00:00,2,5,5,10,0,15
92,5bbdc9280d3b7f7155ee008422cf7f8ba722c524,2023-04-14 01:36:25+00:00,17,508,306,814,0,27
93,7cee458706b7b1e58152b268d408c52f9521b9f6,2023-04-14 01:36:45+00:00,2,7,5,12,0,25
95,b7bdb08e7407da775179d0f6cbd488aee0bebdfd,2023-04-14 01:37:54+00:00,3,39,40,79,0,11
96,77e056357bc7a4319df868962ef8df85f994352c,2023-04-14 02:56:25+00:00,9,716,26,742,0,46
97,5a01b5b26b6a9fcf7e9b756c98659d95bbda6f40,2023-04-14 02:58:42+00:00,3,0,16,16,0,1
99,ccebd3ccc53add69c1bb847f69be9d8bf582b701,2023-04-14 04:08:04+00:00,13,99,123,222,0,37
101,4834f55f2347edccb2ef9859ee994f5c9b322a77,2023-04-14 07:28:09+00:00,19,41,72,113,0,15
103,168e983093452b2675557dac2eb6e8e8702a86aa,2023-04-14 09:50:22+00:00,4,5,10,15,0,42
104,2e3d5a6443cc24dbdea10a65fd85007c992438f7,2023-04-14 09:55:46+00:00,2,12,27,39,0,10
105,227dd1752564de2b8f9bfbddede44e83ebed0b38,2023-04-14 10:27:06+00:00,1,9,5,14,0,7
107,65830b4c8fc2216800804a11e0bb9dfac9ecf3fa,2023-04-15 15:16:20+00:00,1,12,12,24,0,2
110,ee3cb84a635ae6747591d0c7a885ec804a234b9d,2023-04-17 03:31:12+00:00,1,7,7,14,0,17
111,b1b91e6719fe2aac368d3a69bae8d7faeef73ec0,2023-04-17 05:48:03+00:00,9,21,38,59,0,34
112,25b3a00213ed0b96df96fd648a9b8c7c9a29ee06,2023-04-17 06:05:20+00:00,1,1,4,5,0,1
114,ebee7b469e01959e7e6d1c7643bc56640597c83c,2023-04-17 06:08:55+00:00,9,19,18,37,0,63
115,b0c123f90b9c1a505a9ceea48cbc86c01263ea54,2023-04-17 06:37:50+00:00,1,2,10,12,0,12
116,e673ed9cd196996db96ce7a97fffed94498499cf,2023-04-17 07:25:06+00:00,1,0,12,12,0,2
117,ef4c0098790aa0b7377a1005c7980dbe63e9c188,2023-04-17 08:08:46+00:00,1,0,8,8,0,1
118,bf163d43b72890d99af4543dfe0ec5f7bfd01665,2023-04-17 08:41:46+00:00,1,1,1,2,0,16
119,1500d81e874b341eb23e2cba460645a7f0d28f9c,2023-04-17 14:35:38+00:00,4,1,11,12,0,15
120,2a9da84cf9fc8bcbcbb3b9a2e09b809696c907d7,2023-04-17 14:36:49+00:00,4,1,4,5,0,35
123,4bba7386720ed08c3f9bf89e66a41a1abf3c4912,2023-04-18 06:11:05+00:00,20,242,155,397,0,134
124,8be6ffd9c7a9c3aff2f41424e60db0ff0379663d,2023-04-18 06:18:32+00:00,3,0,28,28,0,3
126,02010c816e1b630aa338fdfb78a58a7362ea92e0,2023-04-18 06:56:58+00:00,1,1,1,2,0,0
127,ee7d476ad4248beac4b1215036f40735d898cd42,2023-04-18 08:40:14+00:00,2,553,2,555,0,12
128,d6188074fefa150c585182ed17e8ccf553055f46,2023-04-18 09:52:30+00:00,5,55,121,176,0,14
129,395346156c455a9dcc6bd966454853d031a3070c,2023-04-18 13:25:18+00:00,2,20,20,40,0,60
130,6cc4b677130efbcc9b13a01af07278953f5df85f,2023-04-19 02:38:48+00:00,1,1,1,2,0,32
131,f041fea490f050444de4a465103788a9f9bd2ca8,2023-04-19 02:45:10+00:00,3,4,35,39,0,0
135,91af69fa241a074d92e2930d0148056540ea4d9d,2023-04-19 06:30:37+00:00,3,4,13,17,0,5
138,f580d58fa947d09d3084765c25b21a2c7c31ce25,2023-04-19 07:50:02+00:00,24,159,151,310,0,309
139,f526b3c94307f4641c24e02537194f6de677df08,2023-04-19 13:59:55+00:00,1,2,2,4,0,17
141,ec43cca92d52f53e1e5514f1b685a09740e19614,2023-04-20 03:17:35+00:00,1,1,2,3,0,1
143,144a2e6f103359b6d70bb5f481c605cbbb00c3fd,2023-04-20 04:51:02+00:00,2,6,9,15,0,17
144,b939ca743bb9386432907d2403dbd7c0771a66a6,2023-04-20 07:45:10+00:00,2,113,113,226,0,0
145,813163ecf70ad953a251bb990b176a1068bbf27c,2023-04-20 07:56:16+00:00,1,4,10,14,0,7
146,027577a2d4c7a6c57432118673359d259e05d923,2023-04-20 08:58:02+00:00,2,0,16,16,0,1
193,64cc41d14b56b910696e6d08ccfe61db9749b02b,2023-04-20 09:27:47+00:00,1,0,8,8,0,1
194,7e6c1f033f7de83498851dcc67f1c6b470c440f2,2023-04-20 10:55:09+00:00,2,6,5,11,0,9
195,cce41fa570a7b05653f989463c9f8625b6639151,2023-04-20 11:16:26+00:00,4,6,11,17,0,70
198,1dd538bcdd46ddf2c758f1c5c520a6dc6d656806,2023-04-21 04:01:27+00:00,2,2,6,8,0,21
199,cefadcaef2267e777ce686e6d2ebe570fb025cb4,2023-04-21 04:05:44+00:00,1,1,1,2,0,13
201,56dfe8661886afdcf98e0cee176cc00560e2bbf0,2023-04-21 04:14:00+00:00,1,53,53,106,0,2
204,addc30ed545f62d469ba5778e676662cdff60700,2023-04-21 08:29:57+00:00,1,18,14,32,0,5
205,3483fe63a3873c8ed3aab832239a86067fb0daf6,2023-04-21 08:35:19+00:00,10,23,62,85,0,57
213,bf993381103fd07a868ed2bdd7235fcdc92e7a93,2023-04-24 03:05:59+00:00,1,1,1,2,0,2
214,9691c56ac0a288fac7cd2847bca44e9858cec823,2023-04-24 03:14:59+00:00,8,827,285,1112,0,14
215,239d1bd3ca2ac1c2b5027ec256589b9d167449f1,2023-04-24 04:32:20+00:00,1,1,0,1,0,8
216,1945fda433990bab848283c9f18804498b3ec176,2023-04-24 04:33:00+00:00,1,1,1,2,0,17
217,c72f24cbade233587fa3b9266654a0b3f9dfd73a,2023-04-24 04:33:24+00:00,1,2,7,9,0,0
220,cffeec784b5a7bca01c5c87f74457fcabcc4692a,2023-04-24 04:41:38+00:00,5,10,52,62,0,62
221,7992744141967212e4c82e38534f809bd3ec9a18,2023-04-24 04:48:39+00:00,10,390,454,844,0,86
223,41ae326d68f63bd3b34cbbd475e8cad84b481b24,2023-04-24 06:54:51+00:00,1,0,16,16,0,1
224,a7998e24168b066256b74d408eeb3f42c4e93103,2023-04-24 07:50:41+00:00,1,1,21,22,0,8
225,238f873dc8ceb1aeff3da55d98118ef566bca261,2023-04-24 07:51:00+00:00,1,1,1,2,0,0
