programming_language,repo_name,commit_id,tool,hash,date,files,deletions,insertions,lines
TypeScript,pancakeswap/pancake-frontend,b19445c911ab8b1462d2bcc1298ebc21a84391a4,copilot-pr,b19445c911ab8b1462d2bcc1298ebc21a84391a4,2024-02-21 11:33:19+08:00,15,68,212,280
TypeScript,pancakeswap/pancake-frontend,aac9d3bc26d18b4f60a760729711c7805906fbec,copilot-pr,aac9d3bc26d18b4f60a760729711c7805906fbec,2024-01-24 07:22:16+01:00,1,13,22,35
TypeScript,pancakeswap/pancake-frontend,efa27e63fc5c85714a5ba8dc2b9420072465d979,copilot-pr,efa27e63fc5c85714a5ba8dc2b9420072465d979,2024-01-09 13:26:31+01:00,5,14,27,41
TypeScript,pancakeswap/pancake-frontend,4e0f034a0129e9800b572fa5fda4453130733d07,copilot-pr,4e0f034a0129e9800b572fa5fda4453130733d07,2024-01-09 12:44:12+08:00,2,323,5,328
TypeScript,pancakeswap/pancake-frontend,488e08ac50285e0efbeb6588184cd598be0b48fd,copilot-pr,488e08ac50285e0efbeb6588184cd598be0b48fd,2024-01-09 05:05:32+01:00,3,45,50,95
TypeScript,pancakeswap/pancake-frontend,feea66a6fced4e21e12bbe20f775561bf47bf186,copilot-pr,feea66a6fced4e21e12bbe20f775561bf47bf186,2024-01-03 21:12:48+08:00,135,1342,2591,3933
TypeScript,pancakeswap/pancake-frontend,8d9ab4861cabdfe6e5c39730594911781f6f7287,copilot-pr,8d9ab4861cabdfe6e5c39730594911781f6f7287,2023-12-25 13:13:41+08:00,40,218,958,1176
TypeScript,pancakeswap/pancake-frontend,c656f19923eb873f5883d8bc359ac259053413c0,copilot-pr,c656f19923eb873f5883d8bc359ac259053413c0,2023-12-22 14:48:34+08:00,10,39,133,172
TypeScript,pancakeswap/pancake-frontend,11e87b67e123d56e5afe3200790700eced5bfee7,copilot-pr,11e87b67e123d56e5afe3200790700eced5bfee7,2023-12-22 14:48:14+08:00,12,56,87,143
TypeScript,pancakeswap/pancake-frontend,580bde10cf7ed4b1a02e5844b072d84efb58ebee,copilot-pr,580bde10cf7ed4b1a02e5844b072d84efb58ebee,2023-12-20 16:42:18+08:00,5,23,271,294
TypeScript,pancakeswap/pancake-frontend,f079d1733041f341afb8fbf4f15b66b51cb4980d,copilot-pr,f079d1733041f341afb8fbf4f15b66b51cb4980d,2023-12-20 12:33:09+08:00,5,13,304,317
TypeScript,pancakeswap/pancake-frontend,e8413760707dd1fd04a1eff3fac9ea7469d9c7e6,copilot-pr,e8413760707dd1fd04a1eff3fac9ea7469d9c7e6,2023-12-19 17:06:56+00:00,2,10,37,47
TypeScript,pancakeswap/pancake-frontend,40fe6fb7de804cf199e21c73c945cbc79020188e,copilot-pr,40fe6fb7de804cf199e21c73c945cbc79020188e,2023-12-19 22:04:11+08:00,1,1,1,2
TypeScript,pancakeswap/pancake-frontend,0eb758f0142fecf0246d52ee560771e306be154e,copilot-pr,0eb758f0142fecf0246d52ee560771e306be154e,2023-12-19 19:47:12+08:00,1,0,19,19
TypeScript,pancakeswap/pancake-frontend,05df3ae220d0ab42310f884cfdbc427f93693bd1,copilot-pr,05df3ae220d0ab42310f884cfdbc427f93693bd1,2023-12-19 08:13:42+01:00,2,30,39,69
TypeScript,pancakeswap/pancake-frontend,0ab31e155d594ead34af4a7eb2177a67ec7f005c,copilot-pr,0ab31e155d594ead34af4a7eb2177a67ec7f005c,2023-12-19 14:38:23+08:00,1,3,3,6
TypeScript,pancakeswap/pancake-frontend,b434a4faff7f3dd21c56f685abb1908c1163f4de,copilot-pr,b434a4faff7f3dd21c56f685abb1908c1163f4de,2023-12-19 14:24:31+08:00,3,1,23,24
TypeScript,pancakeswap/pancake-frontend,2828771702193bed3b3d7afbf829f3e614c20b2c,copilot-pr,2828771702193bed3b3d7afbf829f3e614c20b2c,2023-12-19 13:01:47+08:00,3,37,66,103
TypeScript,pancakeswap/pancake-frontend,c5d075eb5be8f8ed36bcf85d7aae9f8c4f3e27a3,copilot-pr,c5d075eb5be8f8ed36bcf85d7aae9f8c4f3e27a3,2023-12-19 10:38:23+08:00,1,2,0,2
TypeScript,pancakeswap/pancake-frontend,c66e3a0be58fa29cf8fdb73008818f363fc256bc,copilot-pr,c66e3a0be58fa29cf8fdb73008818f363fc256bc,2023-12-19 03:31:54+01:00,5,17,17,34
TypeScript,pancakeswap/pancake-frontend,3c9356052498c99a1331aaef959bd031d86c8438,copilot-pr,3c9356052498c99a1331aaef959bd031d86c8438,2023-12-19 00:59:43+08:00,1,0,5,5
TypeScript,pancakeswap/pancake-frontend,c10bc6ad1bec30ac9b1eb78c51509fdfc6204a2d,copilot-pr,c10bc6ad1bec30ac9b1eb78c51509fdfc6204a2d,2023-12-18 23:34:41+08:00,15,85,144,229
TypeScript,pancakeswap/pancake-frontend,b0c15f8634bdf2bf93fee8d0f3e6461974c6ba63,copilot-pr,b0c15f8634bdf2bf93fee8d0f3e6461974c6ba63,2023-12-18 20:53:34+08:00,1,1,1,2
TypeScript,pancakeswap/pancake-frontend,321d05f50a9d07b6b570d4388c6ccd2bb3a11c82,copilot-pr,321d05f50a9d07b6b570d4388c6ccd2bb3a11c82,2023-12-18 20:45:57+08:00,5,6,29,35
TypeScript,pancakeswap/pancake-frontend,e39632abf545492a4b96a98942b8a0949bd41767,copilot-pr,e39632abf545492a4b96a98942b8a0949bd41767,2023-12-18 20:34:53+08:00,32,524,785,1309
TypeScript,pancakeswap/pancake-frontend,fda26caecc24c3818d5059e254e15ebc640e10c1,copilot-pr,fda26caecc24c3818d5059e254e15ebc640e10c1,2023-12-18 15:30:21+08:00,2,10,16,26
TypeScript,pancakeswap/pancake-frontend,5b17628332e3f5e71e424b9df513ee169d4d71cf,copilot-pr,5b17628332e3f5e71e424b9df513ee169d4d71cf,2023-12-18 15:29:31+08:00,1,20,22,42
TypeScript,pancakeswap/pancake-frontend,8d64439449209e5024c8af9215432b92808e4182,copilot-pr,8d64439449209e5024c8af9215432b92808e4182,2023-12-18 15:24:31+08:00,4,21,151,172
TypeScript,pancakeswap/pancake-frontend,ad34577c1766fa2cf04f931cf6cc25f2e1a50a0c,copilot-pr,ad34577c1766fa2cf04f931cf6cc25f2e1a50a0c,2023-12-18 15:23:32+08:00,5,22,28,50
TypeScript,pancakeswap/pancake-frontend,5df34e566f21c315e63d44860b7f51c56cdb4a18,copilot-pr,5df34e566f21c315e63d44860b7f51c56cdb4a18,2023-12-18 13:49:48+08:00,5,5,5,10
TypeScript,pancakeswap/pancake-frontend,35fc5fbcc941205099498932b5e683102d2945ad,copilot-pr,35fc5fbcc941205099498932b5e683102d2945ad,2023-12-18 13:37:15+08:00,2,0,18,18
TypeScript,pancakeswap/pancake-frontend,013e642c96701da140d9c26d8deb12723b63124b,copilot-pr,013e642c96701da140d9c26d8deb12723b63124b,2023-12-15 17:57:29+08:00,2,7,12,19
TypeScript,pancakeswap/pancake-frontend,eed44b2d2aa9f2174f898be0c4e459e17b0bd883,copilot-pr,eed44b2d2aa9f2174f898be0c4e459e17b0bd883,2023-12-15 10:49:56+08:00,5,33,55,88
TypeScript,pancakeswap/pancake-frontend,7313dafb200d8b46465ba6b1b82d95417dd6cd85,copilot-pr,7313dafb200d8b46465ba6b1b82d95417dd6cd85,2023-12-14 22:38:26+08:00,3,4,26,30
TypeScript,pancakeswap/pancake-frontend,9ae7b02ba1215865c4e3bd4a07638473f28615ce,copilot-pr,9ae7b02ba1215865c4e3bd4a07638473f28615ce,2023-12-14 21:47:58+08:00,10,56,455,511
TypeScript,pancakeswap/pancake-frontend,802a2a04299daaeb9a393834a442f1ab6afc2182,copilot-pr,802a2a04299daaeb9a393834a442f1ab6afc2182,2023-12-14 08:44:05+00:00,17,38,204,242
TypeScript,pancakeswap/pancake-frontend,4237bb3f27f46c248c24eb855448b6d3cc282b50,copilot-pr,4237bb3f27f46c248c24eb855448b6d3cc282b50,2023-12-14 16:41:14+08:00,2,0,30,30
TypeScript,pancakeswap/pancake-frontend,e854e7424d18c5558731af65c54a59cacc9b0b2e,copilot-pr,e854e7424d18c5558731af65c54a59cacc9b0b2e,2023-12-14 16:03:39+08:00,19,638,112,750
TypeScript,pancakeswap/pancake-frontend,8ad32e1a674988de79d44e576c39088303b37fad,copilot-pr,8ad32e1a674988de79d44e576c39088303b37fad,2023-12-14 14:55:51+08:00,23,289,88,377
TypeScript,pancakeswap/pancake-frontend,b9d919aeed2353789fc5bc52257d4e0c85ec4715,copilot-pr,b9d919aeed2353789fc5bc52257d4e0c85ec4715,2023-12-14 14:45:30+08:00,2,9,14,23
TypeScript,pancakeswap/pancake-frontend,fb014c1e9a45df237c05797312063a99a5135699,copilot-pr,fb014c1e9a45df237c05797312063a99a5135699,2023-12-14 12:52:47+08:00,2,2,2,4
TypeScript,pancakeswap/pancake-frontend,ef8ea2f5dafaa38a9fa1189d3674b97b0eab3a75,copilot-pr,ef8ea2f5dafaa38a9fa1189d3674b97b0eab3a75,2023-12-14 09:35:03+08:00,19,98,19,117
TypeScript,pancakeswap/pancake-frontend,41fd3c9cfe2a5d6c323fb430e1aa4dbcc95aac4e,copilot-pr,41fd3c9cfe2a5d6c323fb430e1aa4dbcc95aac4e,2023-12-13 16:01:18+00:00,3,17,55,72
TypeScript,pancakeswap/pancake-frontend,efced5032842ee5cec571860e9214a464d5e8d33,copilot-pr,efced5032842ee5cec571860e9214a464d5e8d33,2023-12-13 17:31:59+08:00,20,107,306,413
TypeScript,pancakeswap/pancake-frontend,f47866c568916644a9afd06cd3e2ab4f5158b00f,copilot-pr,f47866c568916644a9afd06cd3e2ab4f5158b00f,2023-12-12 13:21:04+00:00,4,13,24,37
TypeScript,pancakeswap/pancake-frontend,ada37cc08fb8c64fa2384ab03f156ab7319b0750,copilot-pr,ada37cc08fb8c64fa2384ab03f156ab7319b0750,2023-12-12 20:24:23+08:00,1,0,38,38
TypeScript,pancakeswap/pancake-frontend,fc673547c9708a4cad118776b859dbc9d72c3694,copilot-pr,fc673547c9708a4cad118776b859dbc9d72c3694,2023-12-12 18:53:49+08:00,2,1,17,18
TypeScript,pancakeswap/pancake-frontend,0ed519bc03143a861f3915bfab2808a09c8832a2,copilot-pr,0ed519bc03143a861f3915bfab2808a09c8832a2,2023-12-12 14:58:42+08:00,1,3,3,6
TypeScript,pancakeswap/pancake-frontend,be872b73c4c494ee64acb317632a915eb8c2fc80,copilot-pr,be872b73c4c494ee64acb317632a915eb8c2fc80,2023-12-12 14:50:06+08:00,1,3,11,14
TypeScript,pancakeswap/pancake-frontend,2276608c9424ccd2ce8b4ca97188eb14b3c1b6d4,copilot-pr,2276608c9424ccd2ce8b4ca97188eb14b3c1b6d4,2023-12-12 04:25:21+01:00,7,128,162,290
TypeScript,pancakeswap/pancake-frontend,7648f51dd94ea24948f60e4c5e97620cb592369b,copilot-pr,7648f51dd94ea24948f60e4c5e97620cb592369b,2023-12-12 11:14:53+08:00,1,2,2,4
TypeScript,pancakeswap/pancake-frontend,cf6ea6af47a46239ad74c9877864dc1483d1e970,copilot-pr,cf6ea6af47a46239ad74c9877864dc1483d1e970,2023-12-12 10:51:10+08:00,1,1,0,1
TypeScript,pancakeswap/pancake-frontend,567d230ee97995b516e175b379a01e0f70b5d062,copilot-pr,567d230ee97995b516e175b379a01e0f70b5d062,2023-12-08 20:32:00+08:00,19,41,206,247
TypeScript,pancakeswap/pancake-frontend,9a935d8cb873411dac7d94ab31ba5a1853fe3548,copilot-pr,9a935d8cb873411dac7d94ab31ba5a1853fe3548,2023-12-08 19:46:01+08:00,1,7,7,14
TypeScript,pancakeswap/pancake-frontend,7506094a8150d402323385c4e006a6f99ead102d,copilot-pr,7506094a8150d402323385c4e006a6f99ead102d,2023-12-08 17:54:05+08:00,8,158,266,424
TypeScript,pancakeswap/pancake-frontend,6e82f1c46ee60f3e66dfc94e0ad1ddc0429e5d44,copilot-pr,6e82f1c46ee60f3e66dfc94e0ad1ddc0429e5d44,2023-12-08 16:22:16+08:00,4,30,32,62
TypeScript,pancakeswap/pancake-frontend,f1211bf565e96728699143dbe5ac57368386b1b7,copilot-pr,f1211bf565e96728699143dbe5ac57368386b1b7,2023-12-08 15:52:43+08:00,1,1,1,2
TypeScript,pancakeswap/pancake-frontend,6098ca93fbaaadf884a5f76134ab266176b719d1,copilot-pr,6098ca93fbaaadf884a5f76134ab266176b719d1,2023-12-08 12:58:11+08:00,1,4,6,10
TypeScript,pancakeswap/pancake-frontend,7b7fc8c800f684f24ea4061baa3fac701926df37,copilot-pr,7b7fc8c800f684f24ea4061baa3fac701926df37,2023-12-08 10:29:31+08:00,12,2,285,287
TypeScript,pancakeswap/pancake-frontend,409ef8a2cb7af8c4ba5742e85dfbe9706b9f9bef,copilot-pr,409ef8a2cb7af8c4ba5742e85dfbe9706b9f9bef,2023-12-07 09:36:07+07:00,5,41,63,104
