hash,duplication_percentage
c3367d34ed0eca52c1a50e929569d0ea46e14111,7.06
b52bc6579ed48ba6f6f28058e1453645ec93e6cb,7.05
6f64cdaf4a00f42f16807516c5beae03badfb1c0,7.02
52a1a0182d4a93ea49be228bd3ec386acb1f23b0,7.02
8a882c700b5b0dfa5f07f3fe6a65a88baf031036,7.01
72a028232f83753e02363cc7449e9d5e45d21392,7.01
f05c0677ef09e4e7cf924ccdfda77523ac9e07d6,7.01
72a153ee212f7a7fea0edf78c1454854514557b0,7.01
9714200e3f931db86592c915304d3a0d02e15cae,7.0
edf9385daefd01f1170155e3862ea30cff8bd42a,7.0
0f78106469481922d8ce54ab6c892337fa022940,7.0
f710ef10afc1a7534882ebd1941c8ab976021d24,7.0
ae118c6577d559b6c322d5fc30e1699c07660cce,7.0
878cb6befc1d3bc60dfdf7ccdde0295f14c95b47,7.0
dd6cecab188c5328d331d14de3f8701510888274,7.0
ddfca06167c95e9aa8f263f9e8979ff5258caa61,7.0
4eccbb8950dad2a0570b68b1507c598bf3b06cbc,7.0
d7eaa17b3935d91efe4b44f315975228907ad59f,6.99
7316074af3348786a11cecbdb1f3abb84b24d67d,6.99
f53e68885847287ff2c0f75d8bc1cff3c5d73630,7.0
5aec6ef953465c690268a2ef5f3747f0408e1cd0,7.0
064a33b15f887224dff7fe914f4301098e773f55,6.99
0af95c43afe3ffffb70a84f260cef403091e67dd,6.99
86f52eb2698489c34523afae71c52672726713e1,6.99
13df749b5b0b6895609abd531507bf0265c72558,6.99
bae0eb67c5faec1dc13bb57bad0f4f52c2e25ae9,6.99
1bf863fc905aa7e8e04705294d83769d81bfd37f,6.69
8b89d43985680fb651d8b0712216fd3d6f10fadd,6.82
f4f016c26a8af134e2d8681440aa0662361b54a1,6.82
c79c32ee7d245242d248d9c2cf4d7e89879945f5,6.82
33bcd0d1c106f6c7ada1feb6ac57c10b173d5a59,6.82
810ac9cfc560046cc314779dd1a74b4062e1175b,6.82
f69a16b404b54a264d7d72b25071466cf2bbeb5f,6.82
41ad39670a241bbcdb9c078a511e28c12e0c50e1,6.82
7cee458706b7b1e58152b268d408c52f9521b9f6,6.82
b7bdb08e7407da775179d0f6cbd488aee0bebdfd,6.82
5a01b5b26b6a9fcf7e9b756c98659d95bbda6f40,6.87
168e983093452b2675557dac2eb6e8e8702a86aa,6.88
2e3d5a6443cc24dbdea10a65fd85007c992438f7,6.88
227dd1752564de2b8f9bfbddede44e83ebed0b38,6.88
65830b4c8fc2216800804a11e0bb9dfac9ecf3fa,6.88
ee3cb84a635ae6747591d0c7a885ec804a234b9d,6.88
b1b91e6719fe2aac368d3a69bae8d7faeef73ec0,6.88
25b3a00213ed0b96df96fd648a9b8c7c9a29ee06,6.88
ebee7b469e01959e7e6d1c7643bc56640597c83c,6.88
b0c123f90b9c1a505a9ceea48cbc86c01263ea54,6.88
e673ed9cd196996db96ce7a97fffed94498499cf,6.88
ef4c0098790aa0b7377a1005c7980dbe63e9c188,6.88
bf163d43b72890d99af4543dfe0ec5f7bfd01665,6.88
1500d81e874b341eb23e2cba460645a7f0d28f9c,6.88
2a9da84cf9fc8bcbcbb3b9a2e09b809696c907d7,6.88
8be6ffd9c7a9c3aff2f41424e60db0ff0379663d,6.8
02010c816e1b630aa338fdfb78a58a7362ea92e0,6.83
d6188074fefa150c585182ed17e8ccf553055f46,6.85
395346156c455a9dcc6bd966454853d031a3070c,6.85
6cc4b677130efbcc9b13a01af07278953f5df85f,6.85
f041fea490f050444de4a465103788a9f9bd2ca8,6.85
91af69fa241a074d92e2930d0148056540ea4d9d,6.84
f526b3c94307f4641c24e02537194f6de677df08,6.84
ec43cca92d52f53e1e5514f1b685a09740e19614,6.84
144a2e6f103359b6d70bb5f481c605cbbb00c3fd,6.84
813163ecf70ad953a251bb990b176a1068bbf27c,6.84
027577a2d4c7a6c57432118673359d259e05d923,6.84
64cc41d14b56b910696e6d08ccfe61db9749b02b,6.83
7e6c1f033f7de83498851dcc67f1c6b470c440f2,6.83
cce41fa570a7b05653f989463c9f8625b6639151,6.82
1dd538bcdd46ddf2c758f1c5c520a6dc6d656806,6.81
cefadcaef2267e777ce686e6d2ebe570fb025cb4,6.81
56dfe8661886afdcf98e0cee176cc00560e2bbf0,6.81
addc30ed545f62d469ba5778e676662cdff60700,6.81
3483fe63a3873c8ed3aab832239a86067fb0daf6,6.81
bf993381103fd07a868ed2bdd7235fcdc92e7a93,6.77
239d1bd3ca2ac1c2b5027ec256589b9d167449f1,6.77
1945fda433990bab848283c9f18804498b3ec176,6.77
c72f24cbade233587fa3b9266654a0b3f9dfd73a,6.77
cffeec784b5a7bca01c5c87f74457fcabcc4692a,6.77
41ae326d68f63bd3b34cbbd475e8cad84b481b24,6.77
a7998e24168b066256b74d408eeb3f42c4e93103,6.77
238f873dc8ceb1aeff3da55d98118ef566bca261,6.77
078ee23fb101deb30c53460f8308b631ba92a501,6.79
79019aece234fece8b6b713c107fadc25a525ad7,6.79
aec463284e144a3f07bd21087e7899ddd6861b48,6.77
0eb14fd0ad61c0c70aafd8ab70094b3fd18b3a39,6.8
711e076fcd7d01ec5c5c061dc321a3bae5a0066f,6.77
a613d8fe8396eed60132553fd2ca8677b8d3c9bf,6.77
68bec4a755cb926d4e39f8dd58290768b4e37500,6.77
27147189c8457b5570dfbe6958764e53a56facc0,6.77
b757d5efeeecd98f1f231676aabd389d399f692f,6.77
26dcd4a7e3529018fc74c385dfd312ba4ac4018c,6.77
286a6f90b0b3c0aa76ca42c28cb57e8de5ab6870,6.77
64fed15aa010bc02fc6f6ad5eb4ec67b7bd6d768,6.78
763c58c9283078ac12f81271b9a76c4081898861,6.78
8cda255a6ffb3bd26b95c270b52fdf822807a31d,6.77
4c06584bf5fb2fe2d69c1ad86790ac1bb9e9cff6,6.77
09413fdd4162a1341eda6094172f05d4bd03e3b6,6.77
5a56ed57cdaba16f357ba2c8d67735ad84822480,6.77
34d22832143b06e36286ab637942eb983dbfb75c,6.77
3e5007057527783d47ede5c0102ea61da702323d,6.77
3d39a50170ce0ee989f7ba08afc58abf0184cc26,6.77
c87f14ca8119d6ad14d0abc2be64fa89a58d561e,6.77
c17e941ac4dd3277ef5bab0f3924b7d4d358d279,6.77
c8281cdad0f8721a21db975bfbccb4ff4bdd31ae,6.77
f496d39514256c3ddcf2fe711c2a31b53549f94a,6.77
f1f02fd0cfedb82cfe92b9e0ae68d990c5cef034,6.75
1ebbb2e5eddfcbc397429e7db75b0caec1a61244,6.75
39fcf6b10839b05aa0be3ab7ee8f7015173b5113,6.75
9bee15cad7b57997c75b5236c6a0c6f6a612fa67,6.75
9d639e6e5d664970c8c960711ee950ad046c9d82,6.75
8660607be857b461bd0d251d21ccd5a080a62405,6.75
5778cb7a18f8c913f06553a42da325a0108d54a4,6.75
9b3c829e2c429b87e119d139b3494eb3318f4c3a,6.75
45caa97e92882d0bba05b03f80b311f83b4b1a6f,6.75
57f93ae114c845fe11cd46681ca57b2bf56cf549,6.75
05c93da9f6f3aeb099fc72d9a69c32ea5ccd5351,6.75
8ca3e1b3fa6a4da14dfbc54fec4d8b1cff607914,6.63
4dd7eb54820f79c73d9dee8a4d61dc14a6ee9db2,6.63
798d9f891ec11067a17a5fdbaf5f7e926a7bf5f0,6.63
7975d3ee1096450cd968787c202289c5802c44d2,6.62
1ca9376d14512ed4d0659de3103641e091b6dc72,6.62
ad097847bb45efe83ea36a3ce4edd8ed25b9ca10,6.61
c8bc8b3efccc56e789a8aebfcda7fd0e9c7985fc,6.61
5414d71980025d13d228a32d8d55df10849ac1b0,6.61
e816be84f67264b801aacc34ebb4ee955fbe28d6,6.61
e367ce8204f29e30981430c14038724fdf3213e2,6.61
98ad23f4652ae29e256d0b0f9c7c511657fa0c60,6.46
d679febae3d08494a8dd420933f163856e75df10,6.46
e154d314b7385b197c8dbcfddb6d0678442dac00,6.46
5cd1fb4555f74fa1442131cc29619c61deb02385,6.46
365fad5bec888b3be9301276f2d8132b5aab7cc2,6.46
468d5f1ebcb6c4d2cf822b5eee0a9c04e07cda13,6.46
0903c56350319d11472b4340b676d82a3ce0cc15,6.46
d0c44bd629d30f09381eac34143ebbb9f251b4a2,6.45
4c3be071c12f0465a0bf07648179cddc142d836e,6.55
dddbdffe46d089c91665ee9b58b1fb83204037eb,6.54
822f01c46300dab24c4c622c3a8191d4681438b6,6.54
f326dbab6b9429bf29f13146158418d7994c0f89,6.54
051e8e10621c7b37696dc44d53c5c6a4967eeadd,6.55
a94fba95c6a10e9b338a53edc6b68e1861788533,6.56
79e7033141f566ab683f53b60c6c6d31959c054c,6.56
e18d6039aa8c735e04996ff40ec0c259e3cd5025,6.56
6eb9be3def221b8a178764b1f02c31786fdccc8d,6.56
c866c0ba126f34ab7bb0a13ce0dec87bb05fd2d5,6.56
ce1c600a9ce326548698e5672c9d94f92849606a,6.55
e3d4a1b530948559eb1c533f19c12465c197d445,6.55
7633b34ae88efd71e1bb1132d1b6f355919c2bfb,6.51
38170b41f01a0158345e1522df005cfe50a95b6b,6.5
1cda00fbc6389444cb5d4e02c6ee599c8b9472dd,6.5
a0e76efb97f708afdd0cf8b947eb57d1e26eaa79,6.5
a8aba93c84c7cd6c915ce87914badc1c923206c9,6.5
349274569893549bdc6b18db3b55bb20d017f5f2,6.5
1584e1e0eccbaf759293bf5b36fe92f9030f71dd,6.49
9e8a6f8ddffd2a2eb54c37cb6d86730029b372c8,6.49
914e334c0392a3dab81d3f95ee63e9aa2a6798ee,6.49
4d52affbb227e8aa5607990d0da38f43a96157f1,6.49
5a3e410eb8f89819c9a391aa289533110616c612,6.49
fb72a46598b775ac2ed6f3f9eef247ccc563166c,6.49
77ba22193f75a838fde3196f6e37ba1b029c5505,6.49
cd26f37871470010066a86b424b40fb63d6aeb3f,6.49
c14fad420bcdac8038970e7130ec8d5571a1db5f,6.48
bff38ef5ed75ccb23ae0c1c7c3d4f2a370fb2d08,6.48
eaf9a97a33a4ad0e83d9015fab7b35e4b8bf9b18,8.2
de16090a2040f49dbec13a7204e41655c96a8e95,8.19
390db9c9f89da6c09d2b784ff342d602b18679f0,8.19
6bed31bab22f0289b4d7f3ae4789d9e2ca8479c1,8.19
84e5baef67169cef5b4754d87618060ecb54f42e,8.19
8bd6797543eb499c58a13d9b786e7de4fb7e0e0f,8.18
7e904fc6e8e502e772e5b92272be699c6033b755,8.18
5baa33fb5e96f2ab3db925dbaec6cff9591ef80f,8.18
98cc45a29f546bcd9a3ad766b217009cb3666b42,8.18
230bcd982f67dc45bb0038fa41d64153dabb2513,8.18
66cf5a328acd54502676da483eb82c5ca581ea00,8.18
b44641250515ac0651085f8aa80891a6a21a1f3e,8.18
78276f64566e11a55d7ca879a153dae09f4022ba,8.18
b86c4aaa5be2c0e9ec07524740a28fa433723fc1,8.18
f0a025a781e0e02b552390bc9713abe3297be39b,8.18
bfece057ce7b94abd76fd95461a3f1ced5cf16a1,8.18
20418aee8fb5f9b4053f732b6bce5b00229d8295,8.17
f9b250ecbb4a771dc39ea56270e40bba89697613,8.17
fdc7634052411c7400e2fe56b0affa0c1da92fa7,8.17
bad7641299576372d31055d0fc6c82ff6cd5a1ed,14.79
ae0281be7aaa36430d24491bbc5ab6ee65fec881,14.79
a6de24d80110c445a6d66e26cfa6e1df78a7a465,14.67
f3951cc29ebd6761f7f613cc3a6a9c53d89c113a,14.67
dbbe9ff6deea62f95c145bfb92957348e12eea5a,14.67
872b38f6565a4a642210e296fd1059ce0fda19bd,14.67
26b9367f4f72cd9fa4fba68d29d7f9c0f4b73930,14.67
1407688f836d5a00f3083725f8ed4df3b0ecbec7,14.67
e8aa41a627971cddecefb6a901b784000bb71500,14.66
73dead0c49e9eee1d9bba19139b108406b305b5a,14.66
cabdb50933cccffebda2aac85ef7cfbc68657097,14.67
1dd015acac82db62427f4b9ca38c3d072e89ace0,14.67
96b6ad0eabc5bc9ddb84b7dd3ee4e080c103f4f4,14.67
1411fd501aea87392c98b7dd364c1f1b0cdc7a07,14.67
a2e7bf5f8a7eaa8f4099541f0a01680ee6357b11,14.67
abcc295ba7b24cd53494ec6cd4a22f17aaa9a563,14.65
b17c14d932f8e16880dab726e93717d6c180db27,14.65
fc6fd2086c82394d254667e6605e9c74f5b5a448,14.65
8225cf7db0aa93e0e6c94e4c4af36fb6ea63219f,14.65
913569914ef0ece51cc0e07fe0ec8ab7afaf734e,14.49
ca8118ca09d6cbdcbc69d04546af796eb7ec532e,14.48
6c4551c638936b158fa1f3419c75b66709462b74,14.48
f05f46451ff453e5022b2e75f36d77ca68d70b70,14.44
0a5db017c2ad009e95e6e03d68aa82457b188a56,14.44
c7f39d739dd919d8b124f6ade21e8f4388ad7ec8,14.44
a80adeabe9e1e43c7c61bf2a8ac0fd56d2499493,14.44
fe29e9588e5d3012882db4ace6c7017646a856b4,14.44
e0f8bc9dbd3c01a30e195a7f772ee22436f9ee42,14.44
7a32057913e165792580464ccdcb0559acfacb9f,14.44
ce30e38988bd3b582ec046eb384acc940a1ff4b3,14.44
ee8d833c65fe4b2e67d008d95e6cb10ac3cb20ea,14.44
17aef525a2ffedf4d9ed96432d46064c6959fbb7,14.44
680ceacd2595e0a68823e3b731f54ed48c8ad8e9,14.44
564e386d01ba77ed2c2c4329a796ab34eaf6a1b8,14.44
07523ae5d3cccd4e2af76efbbff693850dcc30f9,14.44
c80c92e44ee1b1eb8794d9121b81f569e0294f4c,14.44
2c8bea3908362b26d23400471c0e8e6c23013901,14.44
6a9a7f4fa103324793bf7be48d897bb50dbc4e89,14.44
f60f265e0179c1c604090d6381e13680b21d1174,14.44
66298e82d970f480695905101ba75289402511df,14.43
e6a741dc508774f52418694346fb941881f2aa7d,14.43
9f0a9a4690edc665bd73e1e4fb91b41c4abff64a,14.43
b3315de9684ceef6b0196aea41432c371f8d5b5e,14.43
5bdf4cf389c86a202de7c8812ffb74e1701ea6ba,14.43
0d1d21ee6757904d63b0a2cb23bbb777c1a4fe56,14.43
197e8cee3e13625d6b345e3cc3c9d492aa293fd4,14.43
8c68314770307a7d1a9c657716f02bd7a2985738,14.43
914c5c2f71a924748ac59bcc9698acafb9cfca23,14.43
3cdcf219d5958cc0444b4e7188b742cbb68c0df6,14.43
6a59501b1a1ff022cbe631b42030ee65ad44d416,14.43
abba1e87f3d8a0c9c8ca296d5212cfbc8147a6f7,14.43
bbe2a44eb2b9f8a6256d3494edcf4400976484d8,14.43
893eee10c5cdce14ee0b3d94be963f70ced34892,14.43
31e276842ebc315a15ecbc5d2df3e73a6220a53f,14.43
c61cad8f0274a20c2a6f4141bb8761da586a0f2f,14.43
1a62d5674e50d85a61c00c8554953dac20378db5,14.43
21d71afe26de9230ea5a383ef8739e25a4757f65,14.43
77acda6cee9266a71dbdb1fc992f86ca5e767c10,14.68
2fe09cfbaee41e4f57a6a74cb514488746b88314,14.68
23f11a1376e16576ca7617645de6ee5dcc901b48,14.68
5a2120bd38e07358b9114302e0f5f4bad773de4e,14.68
9e31d6813cc6607a25404316e73c3cb8564c830c,14.68
2083a8d0d4db60ad4f5ed7bcb1ec47a5340e0969,14.68
79d098be73ea91ef4d548bc44a92ae49d3acdf92,14.68
01120823876d939957c40f73f229fe90dde3ca84,14.68
b50179ceea4243b20a18f4f757585429b4f9a27d,14.68
0ae20f8bcbb84c1338cd9037db2d41373d0364e1,14.68
2f33779c7aef3a2fd40b4f22bdc401cd3118438e,14.68
7337260c913ada43afde29426ed39a2f7854ed23,14.68
792f9f5cecf8a02a2eec7d1abce81dd77e0ecade,14.68
a7e5c2b348f1e2145cbb57b40467c11c1ee19f9f,14.68
2f79d8b576763152ed35121feaeb680ed9dc62fd,14.68
2a88e053ff1402de8e10420b31c3625e85478287,14.68
d0b8b1374a4548e6091475863338470782ec7461,14.68
03755b2c43fa1cf31dd448c78151ec958941394a,14.69
86474b59e980d52e75fc921c0cc47aac19878b5f,14.68
6a5b6f3f50606651b39bce111f80d264f69050ff,14.68
d317af5cd0055dae3139902426f62c064fc2fb5e,14.68
d2f23c9b333cd3c6792ef2d2640a6dab49ff2fcc,14.68
438f7820ebdde4381cbc0a9c0b0eac73e500f19d,14.68
b11e9d1268e3c3b4c36096b4fea10fc182497314,14.68
0097badb523070fd4c9a04c2c038eef5f0dea7d4,14.68
7c19bd9e8bf34bea9457fa97583b4e5854246419,14.68
c5be6d6f3bc6234642dd38636cb18c7636ea23a5,14.68
d296e98dd2f4bdadb2bb96f8c9ef4c7e4f63589d,14.68
49779797eabfe0e3097ce9039782771d7f6d3580,14.68
47f659c8608623383add3308154c18d96152a962,14.68
8461173641b8deaf6765ee35069e9533031aeaef,14.83
503785ef1d0d41a508f853faa37971c3a98ee9b8,14.83
cbe65530b6b606100c047d10767f564635c8ef70,14.83
b8aefffc31ed3e168d0572c935d6cea14460af01,14.83
702924a06ceb941e0b35e38c086f96c3ca8adb31,14.82
bdcc1a97c9a60c2d97591be6244b3662ea15d52f,14.82
f1ec1b373b5fe6fa98aa490fe8fb930b3d55f2ec,14.82
febb23d8c01efd5cacaa5cccc31606c55d4b78e2,14.72
f459244f853b378fd8a7243c8ceb185147c1308c,14.72
07aff68dca5a8455856d7170dc64138c0360ade9,14.72
53f4163936ca542e3d2da2e156a6f23a159f40d6,14.72
8c0cdd716f9454faa679ea2cb515160fa0d0e487,14.72
d53ab01352c25aa8c10507a24c6a81a0d2db3139,14.72
be8ab2feab5b027de0d4d4b65435c0523c3c681c,14.71
abcb6e1bb4960c7bf1eff103d7957dc1c40afc23,14.71
7c3f8ebc2a62def666a55a54cc8499d245b5d099,14.71
d01b177b09f888826fd8e2a3575beda0dcce47b2,14.71
0b3052809f839a0453ac986829ea116e2e0281b2,14.71
0474036f1f22460fba0b83aa06e4ed58687adaae,14.69
87c516ca6167974e6ab4f8d1e894bd26a40786da,14.69
f5ccb0dc3b53aed24e72636e58620a5c53ef6e94,14.69
a9dc07e4bafcd507011717fabec7614f202e54f1,14.69
094c5acb28074d25ad09523c13e589b557113388,14.69
0e9c12910b310ef0daf8c459293de7d2dd3fa976,14.69
3d1e5e3174e0ae58c8bf3bfbdffa997ac3ca8376,14.7
fe26bbf9f9bf487664d098b0dc217ae2aab0dc27,14.68
04b08dc0805c3a448ad8999ee4feb6f4b09767f3,14.68
6f0c40cded3478e53168bca035e6edf2ad28d8ea,14.68
9c32f0c859c3080decce5b80c1fc5f9bc1ff4dee,14.68
b7d71bd545dea28d4c4ee11c9915817ec94e1a74,14.68
6053f7bf856bf6951df41d8eed8a0b78d137fcc1,14.68
17ceb5b3a355da4c5fcef12c0ad6a3548cb6221a,14.68
2434115f9957f7ce08bdc95619d22c466783d462,14.68
2d3ef21232ae1cf5dcc78ec056df83bf1d401365,14.68
ec0e12bac3ba3103dc386e80cf4721f7503b223e,14.68
ab334093add5f6acd8f86c8fe6660cfaed1f02eb,14.68
59716f4cd6d6ae1c9c6bd56def34db6755a2bac5,14.68
e31475e6bf8f1bbc6c556ce19ddf755fd99fd22c,14.68
d1842ed715e867a8b03426532d1048f0dde5ca9a,14.68
db4c5c37993e5e639232511eda39c97516a09fe0,14.68
2b58cd542eacb05b9890db64443b84794d99a2ae,14.68
3221f24d34df14e1e47efd4e4407144ee60eaf24,14.68
5a206c348500b97fe3492a3aa6c3d6bcbd1b4a4b,14.68
69ad18f3e0f54c75f47c0fcfd682280017d10b01,14.68
96a5d8efe3860c1a6b18d63f7c66e8d7c37c0414,14.66
6e3fbfd904ee3c6f996d2286d2e18c3df1a14482,14.66
483bbc547fb03776e392f2049c97df4d505be2fe,14.66
3b7ecd1e6c8019c395b88984cb613c15639c8a33,14.66
7a279448b42561a35ebfcc3f559d19a3eeb42256,14.68
d1a3bbeb9a100d7c8d48b3e4d892f4267f55ede6,14.68
d8fe08f9b4692f59b1aa9e11c8db617cb3eb4355,14.68
31e874dbd15401f76fcaf45eb0e99a8f55fb74e8,14.68
09be4f19c8192ad19e3eb9aa88a867d3c29b47ea,14.68
94963a6be9bcfaef5b5b3a4bf713a3284aa4bdb7,14.68
d857e899eb0b67d0762806ecf6a66cfe190f5a26,14.71
40685f7c5270d9951c82a04148162989dbd9cd79,14.71
05346550be09fa32bf15cab3452dd13697159405,14.71
299cd2b96b8042188f88d5e619ea7e422de25726,14.71
5f591b158e7b3063f08dbf311efb9789743e1837,14.71
df16393debbe26659f34bfe04a30288a0254d89b,14.71
df917ea7a43ffad5a72ab5ad23866b0e03ae5ad9,14.71
5f48c8be55d6aacd88e76e8ae1a0169ae78e51a9,14.71
e8276fad6ca3b5aa711bc66afef0d0b239895c50,14.71
326f96c29855d963e97742056988128cbc935703,14.7
91b8fd4203cf887370bdb4266e44cbfd9fe31433,14.7
8048a08759e8df05673ce1767598ae79eb2d9657,14.7
5f394ea447c7f9990f19b471e70b7ecb63b51262,14.7
d8cd4cb895c6bf928471d9ba3096a09c76196983,14.7
31b65f684a5dc670f1c2bbc554098cf8aa7ab167,14.69
b6440ab1acccb15c967894c0c44428b09a63bead,14.69
2c658d271c6f1723e92bdc8e8e1434e79406388a,14.69
48c39e213bb85bf4ead63690731641d348187f46,14.69
4d3dd5fa7d016ea9446386007c51946a7ffb00d0,14.69
a96c2acba43a6d8732c2ab5f1a42cb64c3089e19,14.69
87dfc51cdbd9063aec3174714e07c3370d28343c,14.69
ca9a05bc62517e4f1d5bd3984b057c8571bc2d3c,14.69
9ee13e5e34a58085f950dc06e2eefc45fa198a20,14.69
e37aa76e6dddddcb0ff3a89b5e9ef0529709a276,14.7
4db20d7495974460e45ed0d831c1de7bd564d7d2,14.7
14b229a33ff3483164c3e3072e3b8afec74627cf,14.7
ef8b5effcdea8856976144d5ca8e0f43c3b784b6,14.7
