hash,duplication_percentage
0c8ccc508b8d6e328537a5d4e405b5f179f33e7c,7.06
3c58a29652db7e9c03206d9b40adfb285664a4e5,7.05
5bcc5a347f6d770e63256f526c1f381301624f54,7.05
a1cc204870dd2567b157afc6c257a82c96ff36a1,7.05
1b8d562424e4cbd476986b07540c0bfb9475722f,7.05
8567b8ee8567512b89d1f22082bbc1534530fc9a,7.05
36b9cf0f7fd7d7ae5b516b5fc8232308cecc3aee,7.05
b2522b483dfa2e7d5cb00e2bef443eb558ad0ea1,7.05
504fe8c8978cf2e963ba0d1377fb3c8390aada99,7.05
9c40f31a81dce007409741836621c305e507009c,7.05
75d25e27d10f18cd3249472968a6372b39f900e2,7.05
ac3f2575d7414fcefd79854924d292413a7d9ef6,7.05
354382875288a07e6144f2f6485efbb3eba3251f,7.05
dd4ace8cbdbd794bcdedd212fcf0e83e9251534e,7.02
b34a1a938137d84c9cc111595e00c3109ef6c31c,7.02
468592351da987b452c4058508b24f0cf0eb009a,7.02
38e54b6a7a8ebca6e2953c64cf6c5981e7222ef2,7.02
5fba81b34d17a65ad01f7d2ae045d7b15fe98195,7.02
6058bc84cbe0b376adaffb3c9f28d0d2f885d41b,7.02
1e8fc684e57f078b3540c2fda885e44c0a3b12c8,7.0
2c9a71186c3b3360fee563e5ec91b3e143c1a931,7.0
a231f31a117aa9f03ba16009a3da81d10b3e7d87,7.0
747557ea8048b9f776b2af1135fa95cd358e80ba,7.0
6ca57ef3c388adb7aad03db6838c953512c4fe5f,7.0
7134c19aabb73f594e6bc04e3934494d680d3316,7.0
bc9f3fd4063d0a6961ecce1fbae4581110b06408,7.0
bcca92ada8e057bf4567aeb4cf04240cda1ca400,7.0
8ae968a2edf93e8e38fe22a990d2618be71f1944,6.99
eb63bf7fe463d14da020381fab9d639bef2daa47,7.0
62e119882b2cca72b5318ea8569813202bfc8a5a,6.99
b097a99d8c5b76175cced579000ce6338c792156,6.99
70bdb9ed2de2821a48b9e08d8bb01a6b23e16505,6.99
abe45e4d0e0a8e617e8c898ec92fa6dbd59d738e,6.99
ba274ec1b0d060ecabf2356efd4b409999a715b3,6.99
a03c0715bcf1134ea123dc0d513a89ab56f510a4,6.69
527959f9356c4dec69ab9481454dbf9d03e4bebb,6.82
8b7f3eae2279b4eeea79ce14f4aca7344786fb5f,6.87
6c432d48509a8b21741c428dbaf382e1438e9773,6.85
2985e3f1bd5cf14e55b404993c32e8502adaa697,6.88
4d339162a5e1abc85460d5178baedb0be28ecae0,6.88
75e78448e27e3c37aa6e93d5d625fc978f7ad02b,6.88
cc16e227062b02c8f58cfb60da201e1ae1256c52,6.88
5988b0ea4239c0bf2c97942dbc0bb09cb164fefa,6.88
cdd9e39b925ce15983bba273ea8e8c948514bd05,6.88
