file,function,changes_in_30_days,initial_commit_date
apps/web/src/views/Home/components/Banners/V3LaunchBanner.tsx,V3LaunchBanner,4,2023-04-07 06:20:42+00:00
apps/web/src/views/AddLiquidityV3/components/AprCalculator.tsx,deriveUSDPrice,6,2023-04-07 07:36:34+00:00
apps/web/src/views/AddLiquidityV3/components/AprCalculator.tsx,(anonymous),42,2023-04-07 07:36:34+00:00
packages/uikit/src/widgets/Farm/components/FarmApyButton/index.tsx,handleClickButton,1,2023-04-07 07:40:46+00:00
packages/uikit/src/widgets/Farm/components/FarmApyButton/index.tsx,(anonymous),1,2023-04-07 07:40:46+00:00
packages/uikit/src/widgets/Farm/components/FarmApyButton/index.tsx,FarmApyButton,1,2023-04-07 07:40:46+00:00
apps/web/src/views/Migration/components/MigrationStep1/OldFarm/FarmRow.tsx,(anonymous),2,2023-04-07 07:47:16+00:00
apps/web/src/views/Migration/components/MigrationStep1/OldFarm/FarmRow.tsx,FarmRow,1,2023-04-07 07:47:16+00:00
apps/web/src/views/Migration/components/MigrationStep2/NewFarm/FarmRow.tsx,(anonymous),2,2023-04-07 07:47:16+00:00
apps/web/src/views/Migration/components/MigrationStep2/NewFarm/FarmRow.tsx,FarmRow,1,2023-04-07 07:47:16+00:00
apps/web/src/views/Migration/components/v3/OldFarmRow.tsx,(anonymous),4,2023-04-07 07:47:16+00:00
apps/web/src/views/Migration/components/v3/OldFarmRow.tsx,V3OldFarmRow,2,2023-04-07 07:47:16+00:00
apps/web/src/views/Home/components/UserBanner/HarvestCard.tsx,(anonymous),6,2023-04-07 07:51:26+00:00
apps/web/src/views/Home/components/UserBanner/HarvestCard.tsx,HarvestCard,1,2023-04-07 07:51:26+00:00
apps/web/src/pages/liquidity/[tokenId].tsx,useInverter,5,2023-04-07 07:52:21+00:00
apps/web/src/pages/liquidity/[tokenId].tsx,(anonymous),115,2023-04-07 07:52:21+00:00
apps/web/src/hooks/useBUSDPrice.ts,(anonymous),86,2023-04-07 04:38:27+00:00
apps/web/src/hooks/useBUSDPrice.ts,useMemo,20,2023-04-07 04:38:27+00:00
apps/web/src/hooks/useBUSDPrice.ts,useBUSDPrice,10,2023-04-07 04:38:27+00:00
apps/web/src/hooks/useBUSDPrice.ts,=,50,2023-04-07 04:38:27+00:00
apps/web/src/hooks/useBestAMMTrade.ts,useCommonPools,15,2023-04-07 04:38:27+00:00
apps/web/src/hooks/useBestAMMTrade.ts,(anonymous),125,2023-04-07 04:38:27+00:00
apps/web/src/hooks/useBestAMMTrade.ts,queryFn,30,2023-04-07 04:38:27+00:00
apps/web/src/hooks/useBestAMMTrade.ts,!,14,2023-04-07 04:38:27+00:00
apps/web/src/hooks/useBestAMMTrade.ts,useBestTrade,14,2023-04-07 04:38:27+00:00
apps/web/src/hooks/useBestAMMTrade.ts,serializeCurrency,1,2023-04-07 04:38:27+00:00
packages/uikit/src/widgets/Pool/PoolTabButtons.tsx,setStakedOnly,1,2023-04-07 08:02:38+00:00
packages/uikit/src/widgets/Pool/PoolTabButtons.tsx,setViewMode,1,2023-04-07 08:02:38+00:00
packages/uikit/src/widgets/Pool/PoolTabButtons.tsx,(anonymous),2,2023-04-07 08:02:38+00:00
packages/uikit/src/widgets/Pool/PoolTabButtons.tsx,PoolTabButtons,1,2023-04-07 08:02:38+00:00
apps/web/src/hooks/useUserCakeLockStatus.ts,(anonymous),1,2023-04-07 08:07:16+00:00
apps/web/src/hooks/useUserCakeLockStatus.ts,useUserCakeLockStatus,1,2023-04-07 08:07:16+00:00
apps/web/src/views/Profile/components/EditProfileModal/StartView.tsx,(anonymous),3,2023-04-07 08:08:01+00:00
apps/web/src/views/Profile/components/EditProfileModal/StartView.tsx,StartPage,1,2023-04-07 08:08:01+00:00
apps/aptos/components/Pools/components/PoolCard/PoolStatsInfo.tsx,EndTimeTooltipComponent,6,2023-04-07 08:10:52+00:00
apps/aptos/components/Pools/components/PoolCard/PoolStatsInfo.tsx,(anonymous),12,2023-04-07 08:10:52+00:00
apps/aptos/components/Pools/components/PoolCard/PoolStatsInfo.tsx,PoolStatsInfo,6,2023-04-07 08:10:52+00:00
packages/uikit/src/widgets/Pool/Cells/EndsInCell.tsx,getNow,9,2023-04-07 08:10:52+00:00
packages/uikit/src/widgets/Pool/Cells/EndsInCell.tsx,EndTimeTooltipComponent,5,2023-04-07 08:10:52+00:00
packages/uikit/src/widgets/Pool/Cells/EndsInCell.tsx,(anonymous),5,2023-04-07 08:10:52+00:00
packages/uikit/src/widgets/Pool/Cells/EndsInCell.tsx,EndsInCell,1,2023-04-07 08:10:52+00:00
apps/web/src/components/Menu/UserMenu/index.tsx,(anonymous),32,2023-04-07 08:11:37+00:00
